Squad;NPL;MP;Tkl;TklW;Def3rd-Tkl;Mid3rd-Tkl;Att3rd-Tkl;Drib-Tkl;Drib-Att;Tkl%;Drib-Past;Press-Att;Press-Succ;Def3rd-Press;Mid3rd-Press;Att3rd-Press;Blocks;Sh-Blck;ShSv-Blck;Pass-Blck;Int;Tkl+Int;Clr;Err
Sampdoria;20;8.0;141;78;71;44;26;54;120;45.0;66;1198;335;384;492;322;116;31;0;85;120;261;162;2
Atalanta;23;8.0;124;65;60;49;15;44;112;39.3;68;1232;417;400;525;307;141;34;1;107;113;237;158;1
Milan;26;8.0;153;94;72;59;22;47;97;48.5;50;1223;388;332;584;307;110;25;0;85;131;284;103;1
Napoli;24;8.0;121;82;58;44;19;52;131;39.7;79;1112;327;337;471;304;113;21;0;92;87;208;119;0
Empoli;24;8.0;134;89;61;50;23;47;120;39.2;73;1210;321;402;507;301;112;38;1;74;120;254;168;0
Torino;25;8.0;132;66;57;58;17;33;75;44.0;42;1171;363;335;537;299;97;20;0;77;116;248;196;3
Fiorentina;24;8.0;128;71;61;46;21;59;135;43.7;76;1109;305;339;478;292;101;20;0;81;104;232;96;3
Genoa;29;8.0;145;85;72;57;16;53;120;44.2;67;1311;365;450;587;274;143;28;0;115;150;295;154;2
Lazio;22;8.0;140;80;68;47;25;52;141;36.9;89;1084;286;359;457;268;111;35;1;76;87;227;152;0
Venezia;29;8.0;132;86;67;43;22;59;137;43.1;78;1224;293;460;502;262;141;36;0;105;116;248;171;1
Roma;22;8.0;128;81;61;52;15;39;85;45.9;46;1103;319;351;491;261;96;16;1;80;101;229;114;3
Spezia;26;8.0;125;72;59;45;21;42;124;33.9;82;1081;331;347;481;253;127;41;2;86;104;229;176;3
Udinese;20;8.0;120;81;62;43;15;42;114;36.8;72;1146;309;429;469;248;124;27;1;97;104;224;163;4
Inter;23;8.0;121;76;61;44;16;50;109;45.9;59;988;272;311;430;247;102;27;1;75;80;201;143;3
Bologna;23;8.0;126;65;62;53;11;49;124;39.5;75;1104;305;423;447;234;119;31;0;88;81;207;159;4
Salernitana;25;8.0;126;83;68;46;12;49;112;43.8;63;1115;308;454;430;231;138;43;1;95;105;231;194;1
Cagliari;24;8.0;109;71;56;39;14;35;107;32.7;72;1200;313;504;467;229;133;42;0;91;112;221;185;1
Sassuolo;21;8.0;96;56;59;26;11;31;81;38.3;50;1002;274;335;452;215;123;30;3;93;93;189;149;6
Hellas Verona;24;8.0;128;83;60;45;23;47;123;38.2;76;1048;305;398;438;212;119;30;1;89;88;216;218;2
Juventus;24;8.0;124;76;68;43;13;35;94;37.2;59;1015;310;424;401;190;119;35;1;84;94;218;187;4
