Squad;NPL;Poss;90s;Touches;DefPen-Touch;Def3rd-Touch;Mid3rd-Touch;Att3rd-Touch;AttPen-Touch;LiveBall-Touch;Drib-Succ;Drib-Att;Drib-Succ%;Drib-Pl;Drib-Pst-Play;Carries;TotDist-Carr;PrgDist-Carr;Prog-Carr;1/3;Car-PenA;Mis-CntBll;Dis-Carr;SCA;SCA90;SCA-PassLive;GCA;GCA90;GCA-PassLive;xGPer90;npxGPer90;Gls;Ast;G-PK;GlsPer90;AstPer90;G-PKPer90;Ag-xGPer90;Ag-xAPer90;Ag-npxGPer90;Targ-AttRec;Rec-Suc;Rec%;ProgPassRec
Atalanta;23;54.0;8.0;5093;490;1617;2286;1472;252;4699;47;101;46.5;51;2;3190;15501;8066;313;101;38;111;99;204;25.50;145;21;2.62;16;2.03;1.76;13;8;11;1.62;1.00;1.37;1.56;0.83;1.27;3815;3304;86.6;324
Bologna;23;54.4;8.0;4851;509;1512;2450;1192;172;4464;70;123;56.9;76;3;3094;16010;8130;328;114;16;90;70;189;23.63;136;24;3.00;15;1.29;1.10;13;11;12;1.62;1.37;1.50;1.39;0.79;1.11;3794;3251;85.7;234
Cagliari;24;43.1;8.0;4233;605;1637;1875;936;148;3838;48;88;54.5;49;1;2487;13119;6855;219;72;19;95;53;135;16.88;99;19;2.37;14;1.13;0.94;11;8;9;1.37;1.00;1.13;1.58;1.16;1.39;3152;2612;82.9;194
Empoli;24;47.8;8.0;4509;581;1414;1988;1412;237;4076;62;120;51.7;69;4;2807;16163;8620;329;101;37;86;96;179;22.37;138;16;2.00;10;1.24;1.05;9;5;7;1.13;0.62;0.87;1.94;1.40;1.67;3411;2820;82.7;291
Fiorentina;24;56.3;8.0;5184;580;1811;2497;1222;173;4817;40;93;43.0;46;7;3581;18041;9270;339;119;31;116;70;135;16.88;100;18;2.25;13;1.04;0.78;10;6;7;1.25;0.75;0.87;1.59;1.13;1.29;4171;3696;88.6;274
Genoa;29;43.0;8.0;4312;571;1612;1980;973;154;3931;68;123;55.3;75;7;2594;12962;6796;255;89;29;96;78;145;18.12;93;23;2.87;15;1.19;0.91;12;9;9;1.50;1.13;1.13;1.49;0.91;1.20;3130;2621;83.7;207
Hellas Verona;24;47.9;8.0;4328;526;1385;2035;1146;173;3974;57;112;50.9;65;2;2608;12981;7046;279;98;30;93;103;127;15.87;95;30;3.75;23;1.28;1.00;17;12;14;2.12;1.50;1.75;1.56;0.96;1.37;3196;2626;82.2;250
Inter;23;49.8;8.0;4707;585;1644;2192;1192;230;4368;52;99;52.5;56;2;2996;16667;8876;321;118;34;84;52;196;24.50;153;40;5.00;31;2.12;1.84;23;17;21;2.87;2.12;2.62;1.40;0.81;1.22;3693;3236;87.6;281
Juventus;24;50.1;8.0;4717;572;1713;2213;1094;180;4358;53;103;51.5;60;5;2909;15031;7834;296;91;36;108;91;176;22.00;136;18;2.25;12;1.33;1.23;12;8;11;1.50;1.00;1.37;1.16;0.55;0.97;3583;3121;87.1;226
Lazio;22;57.0;8.0;5728;546;1759;2912;1415;176;5381;70;111;63.1;73;6;4074;18857;10313;401;137;32;90;93;179;22.37;130;32;4.00;19;1.64;1.27;18;13;15;2.25;1.62;1.87;1.52;1.06;1.23;4642;4192;90.3;267
Milan;26;54.9;8.0;5023;489;1542;2490;1334;229;4677;91;165;55.2;102;8;3349;18859;10268;384;126;41;116;66;195;24.37;145;29;3.62;20;1.96;1.67;17;11;15;2.12;1.37;1.87;0.98;0.55;0.79;3886;3415;87.9;286
Napoli;24;58.0;8.0;5541;495;1581;2799;1511;219;5182;66;115;57.4;70;5;3798;19974;11124;460;129;54;70;77;210;26.25;155;27;3.38;17;1.93;1.44;19;12;17;2.37;1.50;2.12;0.61;0.47;0.61;4553;4108;90.2;289
Roma;22;54.6;8.0;5100;465;1533;2542;1345;234;4732;67;130;51.5;73;3;3362;17149;8963;361;128;39;101;64;207;25.88;135;27;3.38;18;1.82;1.63;15;13;14;1.87;1.62;1.75;1.10;0.83;1.10;4097;3623;88.4;281
Salernitana;25;39.1;8.0;3723;468;1234;1678;1025;171;3325;56;82;68.3;56;4;2024;11127;5830;221;82;26;97;79;122;15.25;82;7;0.87;1;1.07;0.98;6;3;5;0.75;0.37;0.62;1.57;1.22;1.57;2584;1950;75.5;222
Sampdoria;20;49.6;8.0;4485;551;1476;1995;1280;181;4095;60;95;63.2;67;1;2649;13018;6864;269;100;25;86;79;161;20.12;115;17;2.12;12;1.13;1.04;10;7;9;1.25;0.87;1.13;1.61;1.11;1.52;3406;2805;82.4;310
Sassuolo;21;56.5;8.0;5139;730;2063;2374;1043;190;4736;62;127;48.8;71;10;3333;17537;10065;350;111;45;115;89;174;21.75;130;16;2.00;13;1.36;1.26;9;5;8;1.13;0.62;1.00;1.66;1.21;1.47;4024;3548;88.2;273
Spezia;26;48.0;8.0;4491;575;1678;2000;1084;155;4107;69;113;61.1;69;7;2762;14588;7543;296;91;26;89;107;160;20.00;115;17;2.12;12;0.99;0.99;10;6;10;1.25;0.75;1.25;1.70;1.24;1.51;3345;2845;85.1;232
Torino;25;49.3;8.0;4483;450;1355;2122;1271;186;4142;63;104;60.6;71;4;2726;14014;7524;308;97;42;113;85;164;20.50;122;17;2.12;12;1.18;1.18;9;7;9;1.13;0.87;1.13;1.01;0.59;0.73;3306;2737;82.8;225
Udinese;20;43.9;8.0;4370;541;1539;2043;1099;167;4004;74;142;52.1;83;4;2832;15507;8717;355;113;28;97;82;154;19.25;105;15;1.87;9;1.36;1.28;10;6;9;1.25;0.75;1.13;1.41;0.92;1.25;3300;2841;86.1;173
Venezia;29;43.8;8.0;4336;631;1801;1972;849;132;3978;53;119;44.5;60;9;2550;13990;7972;257;76;32;99;102;115;14.37;88;12;1.50;8;1.05;0.95;6;4;5;0.75;0.50;0.62;1.31;0.86;1.03;3248;2693;82.9;202
